Sample,index,Root biomass,Stem biomass,Leaf biomass,Total biomass,Root TN,Stem TN,Leaf TN,Total TN
Fungi_PCoA1_Stem_ep ,0.254386063918104,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_PCoA1_Stem_ep ,0.251606884145807,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_PCoA1_Stem_en ,0.415661471584653,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_PCoA1_Stem_en ,0.416462012045977,50,126,50,226,79.5,108.36,129,316.86
Fungi_PCoA1_Stem_en ,0.401450833387891,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_PCoA1_Stem_en ,0.448394332456562,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_PCoA1_Stem_en ,0.450512714926688,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_PCoA1_Stem_en ,0.44831271544987,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_PCoA1_phylloplane ,0.263059494194171,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_PCoA1_phylloplane ,0.255866241413268,50,126,50,226,79.5,108.36,129,316.86
Fungi_PCoA1_phylloplane ,0.232634410951018,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_PCoA1_phylloplane ,0.369433039818501,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_PCoA1_phylloplane ,0.348896480876205,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_PCoA1_phylloplane ,0.351101279885587,77,122,68,267,194.74,80.58,194.3,469.62
Fungi_PCoA1_Leaf_en ,0.406315834956771,52,125,44,221,75.92,106.25,122.76,304.93
Fungi_PCoA1_Leaf_en ,0.404016734338656,50,126,50,226,79.5,108.36,129,316.86
Fungi_PCoA1_Leaf_en ,0.40856512468976,58,119,42,219,100.17,84.15,108.81,293.13
Fungi_PCoA1_Leaf_en ,0.403270234754266,64,132,76,272,123.52,96.36,283.8,503.68
Fungi_PCoA1_Leaf_en ,0.401608797871594,73,120,60,253,168.33,91.2,193.8,453.33
Fungi_PCoA1_Leaf_en ,0.406337339508342,77,122,68,267,194.74,80.58,194.3,469.62
